Posicion_Voz;Voz;Total_Voces;Voces_Correctas;Voces_Incorrectas;Porcentaje_Acierto;Porcentaje_Total_Posicion
1;RESUMEN;72;66;6;91.67%;100.00%
1;Pass;39;39;0;100.00%;54.17%
1;1Dia;10;10;0;100.00%;13.89%
1;1Pic;8;6;2;75.00%;11.11%
1;1Cor;4;3;1;75.00%;5.56%
1;1NT;4;4;0;100.00%;5.56%
1;1Tre;4;4;0;100.00%;5.56%
1;3Dia;2;0;2;0.00%;2.78%
1;3Cor;1;0;1;0.00%;1.39%
2;RESUMEN;72;60;12;83.33%;100.00%
2;Pass;38;38;0;100.00%;52.78%
2;1Dia;7;7;0;100.00%;9.72%
2;1Tre;6;6;0;100.00%;8.33%
2;1NT;6;3;3;50.00%;8.33%
2;1Pic;4;2;2;50.00%;5.56%
2;X;3;1;2;33.33%;4.17%
2;1Cor;3;2;1;66.67%;4.17%
2;2Pic;2;0;2;0.00%;2.78%
2;2NT;1;1;0;100.00%;1.39%
2;2Dia;1;0;1;0.00%;1.39%
2;3Dia;1;0;1;0.00%;1.39%
3;RESUMEN;72;36;36;50.00%;100.00%
3;Pass;21;17;4;80.95%;29.17%
3;1Pic;7;6;1;85.71%;9.72%
3;2Tre;7;1;6;14.29%;9.72%
3;2Pic;5;1;4;20.00%;6.94%
3;X;5;2;3;40.00%;6.94%
3;2Dia;4;0;4;0.00%;5.56%
3;1Dia;4;4;0;100.00%;5.56%
3;3Dia;4;0;4;0.00%;5.56%
3;2Cor;3;1;2;33.33%;4.17%
3;1Tre;3;3;0;100.00%;4.17%
3;3NT;2;0;2;0.00%;2.78%
3;1Cor;2;1;1;50.00%;2.78%
3;1NT;1;0;1;0.00%;1.39%
3;2NT;1;0;1;0.00%;1.39%
3;4Dia;1;0;1;0.00%;1.39%
3;4Cor;1;0;1;0.00%;1.39%
3;3Pic;1;0;1;0.00%;1.39%
4;RESUMEN;72;32;40;44.44%;100.00%
4;Pass;27;20;7;74.07%;37.50%
4;X;10;3;7;30.00%;13.89%
4;1Pic;8;4;4;50.00%;11.11%
4;2Cor;4;0;4;0.00%;5.56%
4;1Dia;4;1;3;25.00%;5.56%
4;2Tre;4;1;3;25.00%;5.56%
4;1NT;3;1;2;33.33%;4.17%
4;3Tre;3;0;3;0.00%;4.17%
4;1Tre;2;1;1;50.00%;2.78%
4;3Dia;2;0;2;0.00%;2.78%
4;3Cor;2;0;2;0.00%;2.78%
4;4Cor;1;0;1;0.00%;1.39%
4;3Pic;1;0;1;0.00%;1.39%
4;1Cor;1;1;0;100.00%;1.39%
5;RESUMEN;72;28;44;38.89%;100.00%
5;Pass;29;18;11;62.07%;40.28%
5;2Cor;7;3;4;42.86%;9.72%
5;4Pic;5;0;5;0.00%;6.94%
5;2Pic;5;2;3;40.00%;6.94%
5;X;4;1;3;25.00%;5.56%
5;2Dia;3;1;2;33.33%;4.17%
5;3Cor;3;2;1;66.67%;4.17%
5;4Dia;3;0;3;0.00%;4.17%
5;1NT;2;1;1;50.00%;2.78%
5;2NT;2;0;2;0.00%;2.78%
5;XX;2;0;2;0.00%;2.78%
5;1Pic;2;0;2;0.00%;2.78%
5;5Tre;1;0;1;0.00%;1.39%
5;3Dia;1;0;1;0.00%;1.39%
5;4Tre;1;0;1;0.00%;1.39%
5;2Tre;1;0;1;0.00%;1.39%
5;1Cor;1;0;1;0.00%;1.39%
6;RESUMEN;72;32;40;44.44%;100.00%
6;Pass;40;26;14;65.00%;55.56%
6;2Pic;6;1;5;16.67%;8.33%
6;1NT;3;3;0;100.00%;4.17%
6;2Tre;3;1;2;33.33%;4.17%
6;2Cor;3;0;3;0.00%;4.17%
6;2Dia;2;0;2;0.00%;2.78%
6;5Cor;2;0;2;0.00%;2.78%
6;3NT;2;0;2;0.00%;2.78%
6;1Cor;2;0;2;0.00%;2.78%
6;X;2;0;2;0.00%;2.78%
6;2NT;1;0;1;0.00%;1.39%
6;5Pic;1;0;1;0.00%;1.39%
6;4Tre;1;0;1;0.00%;1.39%
6;3Tre;1;0;1;0.00%;1.39%
6;4Pic;1;1;0;100.00%;1.39%
6;1Pic;1;0;1;0.00%;1.39%
6;4Cor;1;0;1;0.00%;1.39%
7;RESUMEN;68;25;43;36.76%;100.00%
7;Pass;37;20;17;54.05%;54.41%
7;3Tre;4;0;4;0.00%;5.88%
7;X;3;1;2;33.33%;4.41%
7;2Pic;3;1;2;33.33%;4.41%
7;3Pic;3;0;3;0.00%;4.41%
7;4Pic;3;1;2;33.33%;4.41%
7;2Cor;2;1;1;50.00%;2.94%
7;2NT;2;0;2;0.00%;2.94%
7;5Dia;2;0;2;0.00%;2.94%
7;3NT;2;1;1;50.00%;2.94%
7;6Tre;1;0;1;0.00%;1.47%
7;4Dia;1;0;1;0.00%;1.47%
7;5Tre;1;0;1;0.00%;1.47%
7;4Tre;1;0;1;0.00%;1.47%
7;3Cor;1;0;1;0.00%;1.47%
7;3Dia;1;0;1;0.00%;1.47%
7;2Tre;1;0;1;0.00%;1.47%
8;RESUMEN;66;31;35;46.97%;100.00%
8;Pass;44;24;20;54.55%;66.67%
8;3Cor;4;1;3;25.00%;6.06%
8;2Cor;3;1;2;33.33%;4.55%
8;3NT;3;2;1;66.67%;4.55%
8;3Tre;2;0;2;0.00%;3.03%
8;6Pic;1;0;1;0.00%;1.52%
8;5Tre;1;0;1;0.00%;1.52%
8;1NT;1;0;1;0.00%;1.52%
8;2Dia;1;1;0;100.00%;1.52%
8;4Dia;1;0;1;0.00%;1.52%
8;2NT;1;0;1;0.00%;1.52%
8;2Pic;1;0;1;0.00%;1.52%
8;4Cor;1;0;1;0.00%;1.52%
8;3Pic;1;1;0;100.00%;1.52%
8;4Pic;1;1;0;100.00%;1.52%
9;RESUMEN;57;23;34;40.35%;100.00%
9;Pass;40;20;20;50.00%;70.18%
9;2Cor;3;0;3;0.00%;5.26%
9;3NT;3;1;2;33.33%;5.26%
9;3Pic;2;0;2;0.00%;3.51%
9;4Tre;2;0;2;0.00%;3.51%
9;3Tre;1;0;1;0.00%;1.75%
9;2Pic;1;1;0;100.00%;1.75%
9;X;1;0;1;0.00%;1.75%
9;2NT;1;0;1;0.00%;1.75%
9;4Cor;1;1;0;100.00%;1.75%
9;3Dia;1;0;1;0.00%;1.75%
9;5Pic;1;0;1;0.00%;1.75%
10;RESUMEN;51;24;27;47.06%;100.00%
10;Pass;41;22;19;53.66%;80.39%
10;3Tre;2;1;1;50.00%;3.92%
10;3NT;2;0;2;0.00%;3.92%
10;4Tre;1;1;0;100.00%;1.96%
10;2Cor;1;0;1;0.00%;1.96%
10;3Dia;1;0;1;0.00%;1.96%
10;4Cor;1;0;1;0.00%;1.96%
10;3Pic;1;0;1;0.00%;1.96%
10;3Cor;1;0;1;0.00%;1.96%
