Board;Jugador;Subasta_Real;Grilla;Force;Min_HCP;Max_HCP;Min_S;Max_S;Min_H;Max_H;Min_D;Max_D;Min_C;Max_C;Subasta_Predicha;Es_Correcta;Confianza;Subasta_Previa
1;N;Pass;0;No;0;11;0;6;0;6;0;6;0;6;Pass;SI;0.9988;
1;E;1Tre;110;No;11;21;0;4;0;4;0;4;2;13;1Tre;SI;0.9939;Pass
1;S;1NT;190;No;15;18;2;5;2;5;2;5;2;5;3NT;NO;0.9109;Pass - 1Tre
1;W;Pass;0;No;0;7;0;6;0;6;0;6;0;5;X;NO;0.5704;Pass - 1Tre - 1NT
1;N;Pass;0;No;0;11;0;6;0;6;0;6;0;6;Pass;SI;0.993;Pass - 1Tre - 1NT - Pass
1;E;Pass;0;No;11;21;0;4;0;4;0;4;2;13;1Dia;NO;0.9529;Pass - 1Tre - 1NT - Pass - Pass
2;E;Pass;0;No;0;11;0;6;0;6;0;6;0;6;Pass;SI;0.9992;
2;S;Pass;0;No;0;11;0;6;0;6;0;6;0;6;Pass;SI;0.9976;Pass
2;W;Pass;0;No;0;11;0;6;0;6;0;6;0;6;Pass;SI;0.9949;Pass - Pass
2;N;1Tre;110;No;10;21;0;6;0;6;0;6;2;9;1Dia;NO;0.9501;Pass - Pass - Pass
2;E;Pass;0;No;0;11;0;6;0;6;0;6;0;6;Pass;SI;0.9986;Pass - Pass - Pass - 1Tre
2;S;1NT;190;No;6;11;2;3;2;3;2;4;2;6;1NT;SI;0.5988;Pass - Pass - Pass - 1Tre - Pass
2;W;X;191;Si;10;11;3;4;3;4;3;5;0;3;X;SI;0.9939;Pass - Pass - Pass - 1Tre - Pass - 1NT
2;N;Pass;0;No;10;21;0;6;0;6;0;6;2;9;Pass;SI;0.9008;Pass - Pass - Pass - 1Tre - Pass - 1NT - X
2;E;2Cor;250;No;0;11;0;4;3;6;0;6;0;6;2Tre;NO;0.9994;Pass - Pass - Pass - 1Tre - Pass - 1NT - X - Pass
2;S;3Tre;310;No;6;11;2;3;2;3;2;4;4;6;Pass;NO;0.7583;Pass - Pass - Pass - 1Tre - Pass - 1NT - X - Pass - 2Cor
2;W;Pass;0;Si;10;11;3;4;3;4;3;5;0;3;X;NO;0.3939;Pass - Pass - Pass - 1Tre - Pass - 1NT - X - Pass - 2Cor - 3Tre
2;N;Pass;0;No;10;21;0;6;0;6;0;6;2;9;Pass;SI;0.6251;Pass - Pass - Pass - 1Tre - Pass - 1NT - X - Pass - 2Cor - 3Tre - Pass
2;E;Pass;0;No;0;11;0;4;3;6;0;6;0;6;Pass;SI;0.9745;Pass - Pass - Pass - 1Tre - Pass - 1NT - X - Pass - 2Cor - 3Tre - Pass - Pass
3;S;Pass;0;No;0;11;0;6;0;6;0;6;0;6;Pass;SI;0.9962;
3;W;1Dia;130;No;11;21;0;4;0;4;4;9;0;9;1Dia;SI;0.9989;Pass
3;N;Pass;0;No;0;14;0;6;0;6;0;6;0;6;Pass;SI;0.9172;Pass - 1Dia
3;E;1Pic;170;Si;6;29;4;9;0;9;0;9;0;9;1Pic;SI;0.9172;Pass - 1Dia - Pass
3;S;X;171;Si;8;11;0;3;4;5;0;3;4;6;X;SI;0.5445;Pass - 1Dia - Pass - 1Pic
3;W;2Dia;230;No;11;15;0;4;0;4;5;9;0;9;Pass;NO;0.4622;Pass - 1Dia - Pass - 1Pic - X
3;N;Pass;0;No;0;10;0;6;0;4;0;6;0;4;2Pic;NO;0.9635;Pass - 1Dia - Pass - 1Pic - X - 2Dia
3;E;2Cor;250;Si;10;29;4;5;0;4;3;9;0;9;2Cor;SI;0.9933;Pass - 1Dia - Pass - 1Pic - X - 2Dia - Pass
3;S;Pass;0;Si;8;11;0;3;4;5;0;3;4;6;Pass;SI;0.5963;Pass - 1Dia - Pass - 1Pic - X - 2Dia - Pass - 2Cor
3;W;3NT;390;No;13;15;0;4;0;4;5;9;0;9;3Cor;NO;0.6677;Pass - 1Dia - Pass - 1Pic - X - 2Dia - Pass - 2Cor - Pass
3;N;Pass;0;No;0;10;0;6;0;4;0;6;0;4;Pass;SI;0.9836;Pass - 1Dia - Pass - 1Pic - X - 2Dia - Pass - 2Cor - Pass - 3NT
3;E;Pass;0;Si;10;29;4;5;0;4;3;9;0;9;4Tre;NO;0.9778;Pass - 1Dia - Pass - 1Pic - X - 2Dia - Pass - 2Cor - Pass - 3NT - Pass
3;S;Pass;0;Si;8;11;0;3;4;5;0;3;4;6;Pass;SI;0.6253;Pass - 1Dia - Pass - 1Pic - X - 2Dia - Pass - 2Cor - Pass - 3NT - Pass - Pass
4;W;1Dia;130;No;11;21;0;4;0;4;4;9;0;9;1Dia;SI;0.577;
4;N;Pass;0;No;0;14;0;6;0;6;0;6;0;6;Pass;SI;0.9493;1Dia
4;E;1Pic;170;Si;5;29;4;9;0;9;0;9;0;9;3NT;NO;0.9235;1Dia - Pass
4;S;Pass;0;No;0;14;0;6;0;6;0;6;0;6;Pass;SI;0.9904;1Dia - Pass - 1Pic
4;W;2Cor;250;Si;17;21;0;4;4;4;4;9;0;9;3Cor;NO;0.7295;1Dia - Pass - 1Pic - Pass
4;N;Pass;0;No;11;21;0;4;0;4;4;9;0;9;1Dia;NO;0.5487;1Dia - Pass - 1Pic - Pass - 2Cor
4;E;2Pic;270;Si;5;29;5;9;0;3;0;9;0;9;3Dia;NO;0.5258;1Dia - Pass - 1Pic - Pass - 2Cor - Pass
4;S;Pass;0;No;0;14;0;6;0;6;0;6;0;6;Pass;SI;0.9967;1Dia - Pass - 1Pic - Pass - 2Cor - Pass - 2Pic
4;W;3Tre;310;Si;17;21;0;4;4;4;4;9;3;4;3Cor;NO;0.9179;1Dia - Pass - 1Pic - Pass - 2Cor - Pass - 2Pic - Pass
4;N;Pass;0;No;11;21;0;4;0;4;4;9;0;9;1Dia;NO;0.8491;1Dia - Pass - 1Pic - Pass - 2Cor - Pass - 2Pic - Pass - 3Tre
4;E;3Dia;330;Si;5;29;5;9;0;3;4;5;0;5;3NT;NO;0.5246;1Dia - Pass - 1Pic - Pass - 2Cor - Pass - 2Pic - Pass - 3Tre - Pass
4;S;Pass;0;No;0;14;0;6;0;6;0;6;0;6;Pass;SI;0.9997;1Dia - Pass - 1Pic - Pass - 2Cor - Pass - 2Pic - Pass - 3Tre - Pass - 3Dia
4;W;3NT;390;No;17;21;0;4;4;4;4;9;3;4;3Pic;NO;0.5317;1Dia - Pass - 1Pic - Pass - 2Cor - Pass - 2Pic - Pass - 3Tre - Pass - 3Dia - Pass
4;N;Pass;0;No;11;21;0;4;0;4;4;9;0;9;1Dia;NO;0.4645;1Dia - Pass - 1Pic - Pass - 2Cor - Pass - 2Pic - Pass - 3Tre - Pass - 3Dia - Pass - 3NT
4;E;Pass;0;No;5;29;5;9;0;3;4;5;0;5;4Cor;NO;0.7005;1Dia - Pass - 1Pic - Pass - 2Cor - Pass - 2Pic - Pass - 3Tre - Pass - 3Dia - Pass - 3NT - Pass
4;S;Pass;0;No;0;14;0;6;0;6;0;6;0;6;Pass;SI;0.9991;1Dia - Pass - 1Pic - Pass - 2Cor - Pass - 2Pic - Pass - 3Tre - Pass - 3Dia - Pass - 3NT - Pass - Pass
5;N;1Dia;130;No;11;21;0;4;0;4;4;9;0;9;1Dia;SI;0.7324;
5;E;1Pic;170;No;8;17;5;9;0;6;0;6;0;6;1Pic;SI;0.9994;1Dia
5;S;Pass;0;No;0;10;0;6;0;6;0;4;0;6;Pass;SI;0.9123;1Dia - 1Pic
5;W;1NT;190;No;8;11;1;2;2;4;2;5;2;4;2NT;NO;0.5877;1Dia - 1Pic - Pass
5;N;2Dia;230;No;11;16;0;4;0;4;5;9;0;9;Pass;NO;0.6291;1Dia - 1Pic - Pass - 1NT
5;E;Pass;0;No;8;14;5;6;0;6;0;6;0;6;Pass;SI;0.6428;1Dia - 1Pic - Pass - 1NT - 2Dia
5;S;Pass;0;No;0;10;0;6;0;6;0;4;0;6;2Cor;NO;0.4562;1Dia - 1Pic - Pass - 1NT - 2Dia - Pass
5;W;Pass;0;No;8;11;1;2;2;4;2;5;2;4;X;NO;0.4292;1Dia - 1Pic - Pass - 1NT - 2Dia - Pass - Pass
6;E;Pass;0;No;0;11;0;6;0;6;0;6;0;6;Pass;SI;0.9992;
6;S;Pass;0;No;0;11;0;6;0;6;0;6;0;6;Pass;SI;0.9976;Pass
6;W;2Cor;250;No;6;10;0;6;6;6;0;6;0;6;1Pic;NO;0.372;Pass - Pass
6;N;X;251;No;11;37;3;9;0;3;3;9;3;9;2Tre;NO;0.9736;Pass - Pass - 2Cor
6;E;Pass;0;No;0;11;0;6;0;3;0;6;0;6;Pass;SI;0.9968;Pass - Pass - 2Cor - X
6;S;2NT;290;No;6;11;0;3;2;6;0;5;0;5;3Tre;NO;0.9084;Pass - Pass - 2Cor - X - Pass
6;W;Pass;0;No;6;10;0;6;6;6;0;6;0;6;Pass;SI;0.6704;Pass - Pass - 2Cor - X - Pass - 2NT
6;N;3NT;390;No;13;15;3;4;0;3;3;5;3;5;3NT;SI;0.9245;Pass - Pass - 2Cor - X - Pass - 2NT - Pass
6;E;Pass;0;No;0;11;0;6;0;3;0;6;0;6;Pass;SI;0.9936;Pass - Pass - 2Cor - X - Pass - 2NT - Pass - 3NT
6;S;Pass;0;No;6;11;0;3;2;6;0;5;0;5;4Cor;NO;0.8463;Pass - Pass - 2Cor - X - Pass - 2NT - Pass - 3NT - Pass
6;W;Pass;0;No;6;10;0;6;6;6;0;6;0;6;Pass;SI;0.7268;Pass - Pass - 2Cor - X - Pass - 2NT - Pass - 3NT - Pass - Pass
7;S;1Pic;170;No;11;21;5;9;0;9;0;9;0;9;1Tre;NO;0.7322;
7;W;Pass;0;No;0;14;0;6;0;6;0;6;0;6;Pass;SI;0.9962;1Pic
7;N;2Pic;270;No;5;9;3;3;0;5;0;6;0;6;2Pic;SI;0.9484;1Pic - Pass
7;E;Pass;0;No;0;14;0;6;0;6;0;6;0;6;Pass;SI;0.9979;1Pic - Pass - 2Pic
7;S;3Cor;350;Si;14;17;5;9;4;5;0;4;0;4;3Cor;SI;0.5618;1Pic - Pass - 2Pic - Pass
7;W;Pass;0;No;0;14;0;6;0;6;0;6;0;6;Pass;SI;0.9992;1Pic - Pass - 2Pic - Pass - 3Cor
7;N;3Pic;370;No;5;7;3;3;0;3;0;6;0;6;3NT;NO;0.9965;1Pic - Pass - 2Pic - Pass - 3Cor - Pass
7;E;Pass;0;No;0;14;0;6;0;6;0;6;0;6;Pass;SI;0.9996;1Pic - Pass - 2Pic - Pass - 3Cor - Pass - 3Pic
7;S;Pass;0;Si;14;17;5;9;4;5;0;4;0;4;4Cor;NO;0.9444;1Pic - Pass - 2Pic - Pass - 3Cor - Pass - 3Pic - Pass
7;W;Pass;0;No;0;14;0;6;0;6;0;6;0;6;Pass;SI;0.9979;1Pic - Pass - 2Pic - Pass - 3Cor - Pass - 3Pic - Pass - Pass
8;W;Pass;0;No;0;11;0;6;0;6;0;6;0;6;Pass;SI;0.9986;
8;N;1Dia;130;No;11;21;0;4;0;4;4;9;0;9;1Dia;SI;0.9994;Pass
8;E;1Pic;170;No;8;17;5;7;0;4;0;6;0;6;1Pic;SI;0.9898;Pass - 1Dia
8;S;X;171;Si;7;29;0;5;4;9;0;9;0;9;2Cor;NO;0.896;Pass - 1Dia - 1Pic
8;W;4Pic;470;No;0;8;4;6;0;4;0;5;0;5;3Pic;NO;0.6028;Pass - 1Dia - 1Pic - X
8;N;5Cor;550;No;14;18;0;4;4;5;5;9;0;9;3Dia;NO;0.4157;Pass - 1Dia - 1Pic - X - 4Pic
8;E;Pass;0;No;8;17;5;7;0;4;0;6;0;6;Pass;SI;0.9698;Pass - 1Dia - 1Pic - X - 4Pic - 5Cor
8;S;Pass;0;No;7;13;0;5;4;9;0;9;0;9;5Dia;NO;0.9957;Pass - 1Dia - 1Pic - X - 4Pic - 5Cor - Pass
8;W;Pass;0;No;0;8;4;6;0;4;0;5;0;5;X;NO;0.8761;Pass - 1Dia - 1Pic - X - 4Pic - 5Cor - Pass - Pass
8;N;Pass;0;No;14;18;0;4;4;5;5;9;0;9;5Cor;NO;0.2915;Pass - 1Dia - 1Pic - X - 4Pic - 5Cor - Pass - Pass - Pass
9;N;Pass;0;No;0;11;0;6;0;6;0;6;0;6;Pass;SI;0.9988;
9;E;Pass;0;No;0;11;0;6;0;6;0;6;0;6;Pass;SI;0.9985;Pass
9;S;2Tre;210;Si;19;37;0;9;0;9;0;9;0;9;3NT;NO;0.9238;Pass - Pass
9;W;Pass;0;No;0;18;0;6;0;6;0;6;0;6;X;NO;0.603;Pass - Pass - 2Tre
9;N;2Dia;230;Si;0;19;0;6;0;6;0;6;0;6;2Dia;SI;0.9956;Pass - Pass - 2Tre - Pass
9;E;Pass;0;No;0;11;0;6;0;6;0;6;0;6;Pass;SI;0.9986;Pass - Pass - 2Tre - Pass - 2Dia
9;S;2Cor;250;Si;22;37;0;9;2;9;0;9;0;9;2Cor;SI;0.887;Pass - Pass - 2Tre - Pass - 2Dia - Pass
9;W;Pass;0;No;0;18;0;6;0;6;0;6;0;6;Pass;SI;0.9231;Pass - Pass - 2Tre - Pass - 2Dia - Pass - 2Cor
9;N;2Pic;270;Si;0;19;0;6;0;6;0;6;0;6;2Pic;SI;0.5941;Pass - Pass - 2Tre - Pass - 2Dia - Pass - 2Cor - Pass
9;E;Pass;0;No;0;11;0;6;0;6;0;6;0;6;Pass;SI;0.9983;Pass - Pass - 2Tre - Pass - 2Dia - Pass - 2Cor - Pass - 2Pic
9;S;3Dia;330;Si;22;37;0;9;5;9;0;9;0;9;4Tre;NO;0.3438;Pass - Pass - 2Tre - Pass - 2Dia - Pass - 2Cor - Pass - 2Pic - Pass
9;W;Pass;0;No;0;18;0;6;0;6;0;6;0;6;Pass;SI;0.9045;Pass - Pass - 2Tre - Pass - 2Dia - Pass - 2Cor - Pass - 2Pic - Pass - 3Dia
9;N;4Cor;450;No;0;9;0;6;3;5;0;6;0;6;3Pic;NO;0.9921;Pass - Pass - 2Tre - Pass - 2Dia - Pass - 2Cor - Pass - 2Pic - Pass - 3Dia - Pass
9;E;Pass;0;No;0;11;0;6;0;6;0;6;0;6;Pass;SI;0.9842;Pass - Pass - 2Tre - Pass - 2Dia - Pass - 2Cor - Pass - 2Pic - Pass - 3Dia - Pass - 4Cor
9;S;Pass;0;No;22;37;0;9;5;9;0;9;0;9;4Pic;NO;0.2625;Pass - Pass - 2Tre - Pass - 2Dia - Pass - 2Cor - Pass - 2Pic - Pass - 3Dia - Pass - 4Cor - Pass
9;W;Pass;0;No;0;18;0;6;0;6;0;6;0;6;Pass;SI;0.926;Pass - Pass - 2Tre - Pass - 2Dia - Pass - 2Cor - Pass - 2Pic - Pass - 3Dia - Pass - 4Cor - Pass - Pass
10;E;Pass;0;No;0;11;0;6;0;6;0;6;0;6;Pass;SI;0.9992;
10;S;1Dia;130;No;11;21;0;4;0;4;4;9;0;9;1Dia;SI;0.9967;Pass
10;W;1Pic;170;No;8;17;5;8;0;4;0;6;0;6;1Pic;SI;0.9998;Pass - 1Dia
10;N;3Dia;330;No;0;7;0;4;0;3;5;6;0;6;2Pic;NO;0.4277;Pass - 1Dia - 1Pic
10;E;X;331;Si;10;15;2;2;4;5;0;4;4;6;2Cor;NO;0.9991;Pass - 1Dia - 1Pic - 3Dia
10;S;Pass;0;No;11;15;0;4;0;4;4;5;0;5;2Pic;NO;0.4028;Pass - 1Dia - 1Pic - 3Dia - X
10;W;3Pic;370;No;8;12;6;6;0;3;0;6;0;4;2Pic;NO;0.6625;Pass - 1Dia - 1Pic - 3Dia - X - Pass
10;N;Pass;0;No;0;7;0;4;0;3;5;5;0;6;2Tre;NO;0.3259;Pass - 1Dia - 1Pic - 3Dia - X - Pass - 3Pic
10;E;Pass;0;No;10;15;2;2;4;5;0;4;4;6;4Cor;NO;0.5351;Pass - 1Dia - 1Pic - 3Dia - X - Pass - 3Pic - Pass
10;S;Pass;0;No;11;15;0;4;0;4;4;4;0;5;3Tre;NO;0.805;Pass - 1Dia - 1Pic - 3Dia - X - Pass - 3Pic - Pass - Pass
11;S;1Cor;150;No;11;21;0;4;5;9;0;9;0;9;1Tre;NO;0.6743;
11;W;Pass;0;No;0;14;0;6;0;6;0;6;0;6;Pass;SI;0.99;1Cor
11;N;2Dia;230;Si;12;29;0;4;0;4;5;9;0;9;2Tre;NO;0.9952;1Cor - Pass
11;E;Pass;0;No;0;14;0;6;0;6;0;6;0;6;Pass;SI;0.998;1Cor - Pass - 2Dia
11;S;2Cor;250;No;11;14;0;4;5;9;0;9;0;9;2Cor;SI;0.9927;1Cor - Pass - 2Dia - Pass
11;W;Pass;0;No;0;14;0;6;0;6;0;6;0;6;Pass;SI;0.9993;1Cor - Pass - 2Dia - Pass - 2Cor
11;N;2NT;290;Si;12;29;2;3;2;2;5;9;2;9;2Pic;NO;0.9878;1Cor - Pass - 2Dia - Pass - 2Cor - Pass
11;E;Pass;0;No;0;14;0;6;0;6;0;6;0;6;Pass;SI;0.9975;1Cor - Pass - 2Dia - Pass - 2Cor - Pass - 2NT
11;S;3NT;390;No;11;14;0;4;5;9;0;9;0;9;Pass;NO;0.3106;1Cor - Pass - 2Dia - Pass - 2Cor - Pass - 2NT - Pass
11;W;Pass;0;No;0;14;0;6;0;6;0;6;0;6;Pass;SI;0.9789;1Cor - Pass - 2Dia - Pass - 2Cor - Pass - 2NT - Pass - 3NT
11;N;4NT;490;No;17;18;2;3;2;2;5;9;2;9;4Cor;NO;0.6165;1Cor - Pass - 2Dia - Pass - 2Cor - Pass - 2NT - Pass - 3NT - Pass
11;E;Pass;0;No;0;14;0;6;0;6;0;6;0;6;Pass;SI;0.9988;1Cor - Pass - 2Dia - Pass - 2Cor - Pass - 2NT - Pass - 3NT - Pass - 4NT
11;S;Pass;0;No;11;14;0;4;5;9;0;9;0;9;5Pic;NO;0.7471;1Cor - Pass - 2Dia - Pass - 2Cor - Pass - 2NT - Pass - 3NT - Pass - 4NT - Pass
11;W;Pass;0;No;0;14;0;6;0;6;0;6;0;6;Pass;SI;0.6773;1Cor - Pass - 2Dia - Pass - 2Cor - Pass - 2NT - Pass - 3NT - Pass - 4NT - Pass - Pass
12;W;3Dia;330;No;4;10;0;3;0;3;6;7;0;4;4Tre;NO;0.9461;
12;N;X;331;Si;12;29;3;9;3;9;0;3;2;5;2Dia;NO;0.2861;3Dia
12;E;Pass;0;No;0;14;0;6;0;6;0;6;0;6;Pass;SI;0.9971;3Dia - X
12;S;4Cor;450;No;8;15;0;5;4;9;0;5;0;9;3Pic;NO;0.5297;3Dia - X - Pass
12;W;Pass;0;No;4;10;0;3;0;3;6;7;0;4;Pass;SI;0.8057;3Dia - X - Pass - 4Cor
12;N;Pass;0;Si;12;29;3;9;3;9;0;3;2;5;Pass;SI;0.434;3Dia - X - Pass - 4Cor - Pass
12;E;Pass;0;No;0;14;0;6;0;6;0;6;0;6;Pass;SI;0.9999;3Dia - X - Pass - 4Cor - Pass - Pass
13;N;Pass;0;No;0;11;0;6;0;6;0;6;0;6;Pass;SI;0.9988;
13;E;1Pic;170;No;11;21;5;9;0;9;0;9;0;9;2Tre;NO;0.3967;Pass
13;S;2Tre;210;No;10;17;0;5;0;4;0;4;5;9;1Pic;NO;0.4509;Pass - 1Pic
13;W;3Pic;370;No;0;7;4;4;0;9;0;9;0;9;X;NO;0.9917;Pass - 1Pic - 2Tre
13;N;5Tre;510;No;12;16;0;4;0;4;0;4;4;6;2Cor;NO;0.7597;Pass - 1Pic - 2Tre - 3Pic
13;E;5Pic;570;No;12;21;6;9;0;9;0;9;0;2;3Dia;NO;0.8617;Pass - 1Pic - 2Tre - 3Pic - 5Tre
13;S;6Tre;610;No;10;17;0;5;0;4;0;4;6;9;4Cor;NO;0.8687;Pass - 1Pic - 2Tre - 3Pic - 5Tre - 5Pic
13;W;6Pic;670;No;0;7;4;4;0;9;0;9;0;9;4Pic;NO;0.9642;Pass - 1Pic - 2Tre - 3Pic - 5Tre - 5Pic - 6Tre
13;N;X;671;No;0;7;4;4;0;9;0;9;0;9;1Tre;NO;0.4617;Pass - 1Pic - 2Tre - 3Pic - 5Tre - 5Pic - 6Tre - 6Pic
13;E;Pass;0;No;12;21;6;9;0;9;0;9;0;2;4Pic;NO;0.9529;Pass - 1Pic - 2Tre - 3Pic - 5Tre - 5Pic - 6Tre - 6Pic - X
13;S;Pass;0;No;10;17;0;5;0;4;0;4;6;9;3Pic;NO;0.9881;Pass - 1Pic - 2Tre - 3Pic - 5Tre - 5Pic - 6Tre - 6Pic - X - Pass
13;W;Pass;0;No;0;7;4;4;0;9;0;9;0;9;3Cor;NO;0.975;Pass - 1Pic - 2Tre - 3Pic - 5Tre - 5Pic - 6Tre - 6Pic - X - Pass - Pass
14;E;1Dia;130;No;11;21;0;4;0;4;4;9;0;9;1Dia;SI;0.5965;
14;S;Pass;0;No;0;14;0;6;0;6;0;6;0;6;Pass;SI;0.9802;1Dia
14;W;2Pic;270;No;0;6;6;6;0;4;0;3;0;5;3Pic;NO;0.9224;1Dia - Pass
14;N;3Tre;310;No;12;17;0;4;0;4;0;4;6;8;Pass;NO;0.5805;1Dia - Pass - 2Pic
14;E;3Dia;330;No;13;18;0;2;0;4;6;9;0;9;4Cor;NO;0.5651;1Dia - Pass - 2Pic - 3Tre
14;S;4Tre;410;No;5;10;0;4;0;4;0;4;4;5;Pass;NO;0.9912;1Dia - Pass - 2Pic - 3Tre - 3Dia
14;W;4Dia;430;No;0;6;6;6;0;4;3;4;0;5;4Pic;NO;0.7375;1Dia - Pass - 2Pic - 3Tre - 3Dia - 4Tre
14;N;5Tre;510;No;12;17;0;4;0;4;0;4;6;8;Pass;NO;0.5221;1Dia - Pass - 2Pic - 3Tre - 3Dia - 4Tre - 4Dia
14;E;Pass;0;No;13;18;0;2;0;4;6;9;0;9;4Cor;NO;0.918;1Dia - Pass - 2Pic - 3Tre - 3Dia - 4Tre - 4Dia - 5Tre
14;S;Pass;0;No;5;10;0;4;0;4;0;4;4;5;4Cor;NO;0.8982;1Dia - Pass - 2Pic - 3Tre - 3Dia - 4Tre - 4Dia - 5Tre - Pass
14;W;Pass;0;No;0;6;6;6;0;4;3;4;0;5;Pass;SI;0.8629;1Dia - Pass - 2Pic - 3Tre - 3Dia - 4Tre - 4Dia - 5Tre - Pass - Pass
15;S;Pass;0;No;0;11;0;6;0;6;0;6;0;6;Pass;SI;0.9962;
15;W;Pass;0;No;0;11;0;6;0;6;0;6;0;6;Pass;SI;0.9939;Pass
15;N;Pass;0;No;0;11;0;6;0;6;0;6;0;6;Pass;SI;0.9982;Pass - Pass
15;E;1NT;190;No;14;17;2;5;2;5;2;5;2;5;1NT;SI;0.9766;Pass - Pass - Pass
15;S;Pass;0;No;0;11;0;6;0;6;0;6;0;6;Pass;SI;0.9993;Pass - Pass - Pass - 1NT
15;W;3NT;390;No;8;11;0;4;0;4;0;5;0;5;2Tre;NO;0.7053;Pass - Pass - Pass - 1NT - Pass
