Tablilla,Tablero,Declarante,Jugador,Ss,Hs,Ds,Cs,NT_Bazas,Ss_Bazas,Hs_Bazas,Ds_Bazas,Cs_Bazas,ConteoS,ConteoH,ConteoD,ConteoC,HCP_Total
2,1,S,N,AJT42,A5,AQ8,JT3,8,8,8,9,9,5,2,3,3,16
2,1,S,E,KQ86,J4,J62,AQ92,5,5,5,3,3,4,2,3,4,13
2,1,S,S,3,Q732,KT54,K864,8,7,8,9,9,1,4,4,4,8
2,1,S,W,975,KT986,973,75,5,5,5,3,3,3,5,3,2,3
2,2,S,N,J642,AJ5,9632,JT,4,3,5,5,4,4,3,4,2,7
2,2,S,E,AK95,K986,Q,AQ53,9,10,8,7,9,4,4,1,4,18
2,2,S,S,3,Q732,KT54,K864,4,3,4,6,4,1,4,4,4,8
2,2,S,W,QT87,T4,AJ87,972,9,10,7,7,9,4,2,4,3,7
2,3,S,N,QT4,AJ54,Q963,95,3,2,7,7,3,3,4,4,2,9
2,3,S,E,AK76,KT6,82,QT32,9,11,6,5,9,4,3,2,4,12
2,3,S,S,3,Q732,KT54,K864,3,2,7,7,3,1,4,4,4,8
2,3,S,W,J9852,98,AJ7,AJ7,10,11,6,5,9,5,2,3,3,11
2,4,S,N,8742,AT84,J9,A97,5,4,7,5,6,4,4,2,3,9
2,4,S,E,AKQJ9,KJ95,A82,2,8,9,6,8,7,5,4,3,1,18
2,4,S,S,3,Q732,KT54,K864,5,3,7,5,6,1,4,4,4,8
2,4,S,W,T65,6,Q763,QJT53,8,9,6,8,6,3,1,4,5,5
2,5,S,N,T8,AT6,AJ83,Q532,6,4,8,9,9,2,3,4,4,11
2,5,S,E,AJ975,KJ8,762,T7,7,8,5,4,4,5,3,3,2,9
2,5,S,S,3,Q732,KT54,K864,6,4,8,9,9,1,4,4,4,8
2,5,S,W,KQ642,954,Q9,AJ9,7,8,5,4,4,5,3,2,3,12
2,6,S,N,AQJ94,AJ6,Q972,2,8,7,7,9,5,5,3,4,1,14
2,6,S,E,T52,9,AJ83,QJ975,4,4,5,4,6,3,1,4,5,8
2,6,S,S,3,Q732,KT54,K864,8,7,7,9,5,1,4,4,4,8
2,6,S,W,K876,KT854,6,AT3,4,4,6,4,7,4,5,1,3,10
2,7,S,N,4,AJ6,AQJ873,T52,6,2,7,9,7,1,3,6,3,12
2,7,S,E,T9875,KT5,962,A3,6,10,4,3,6,5,3,3,2,7
2,7,S,S,3,Q732,KT54,K864,6,2,7,9,7,1,4,4,4,8
2,7,S,W,AKQJ62,984,,QJ97,6,10,4,3,5,6,3,0,4,13
2,8,S,N,QT642,AJT94,92,J,3,3,8,4,3,5,5,2,1,8
2,8,S,E,AKJ8,85,863,T953,8,8,5,8,9,4,2,3,4,8
2,8,S,S,3,Q732,KT54,K864,3,4,8,4,3,1,4,4,4,8
2,8,S,W,975,K6,AQJ7,AQ72,10,9,5,8,9,3,2,4,4,16
2,9,S,N,J9764,A985,876,J,4,5,6,5,3,5,4,3,1,6
2,9,S,E,T52,KJ6,AQ93,AT5,9,8,7,7,9,3,3,4,3,14
2,9,S,S,3,Q732,KT54,K864,4,5,6,5,3,1,4,4,4,8
2,9,S,W,AKQ8,T4,J2,Q9732,9,8,6,7,9,4,2,2,5,12
2,10,S,N,AQJT72,8,J72,J53,2,6,2,5,5,6,1,3,3,9
2,10,S,E,K8,AT4,Q63,AQT97,10,7,10,7,8,2,3,3,5,15
2,10,S,S,3,Q732,KT54,K864,2,6,2,5,3,1,4,4,4,8
2,10,S,W,9654,KJ965,A98,2,10,7,10,7,8,4,5,3,1,8
2,11,S,N,AK74,4,A632,QJT2,7,5,5,9,9,4,1,4,4,14
2,11,S,E,QJ82,K9,Q97,A753,5,7,7,3,3,4,2,3,4,12
2,11,S,S,3,Q732,KT54,K864,7,5,5,9,9,1,4,4,4,8
2,11,S,W,T965,AJT865,J8,9,5,7,7,3,3,4,6,2,1,6
2,12,S,N,T2,86,8762,AQ972,1,1,1,7,7,2,2,4,5,6
2,12,S,E,KJ9,J94,AQ93,JT5,8,12,10,6,5,3,3,4,3,12
2,12,S,S,3,Q732,KT54,K864,1,1,1,7,8,1,4,4,4,8
2,12,S,W,AQ87654,AKT5,J,3,8,12,10,6,5,7,4,1,1,14
2,13,S,N,Q64,AJT96,AJ,T95,7,6,10,7,8,3,5,2,3,12
2,13,S,E,AK852,K5,9862,A3,4,7,3,4,5,5,2,4,2,14
2,13,S,S,3,Q732,KT54,K864,5,4,10,6,7,1,4,4,4,8
2,13,S,W,JT97,84,Q73,QJ72,4,7,3,5,5,4,2,3,4,6
2,14,S,N,Q82,AKT98,A62,75,8,5,10,8,7,3,5,3,2,13
2,14,S,E,JT95,5,QJ97,AQJ2,4,8,3,4,6,4,1,4,4,11
2,14,S,S,3,Q732,KT54,K864,8,5,10,8,7,1,4,4,4,8
2,14,S,W,AK764,J64,83,T93,4,8,3,4,6,5,3,2,3,8
2,15,S,N,AJ862,KT98,AJ9,A,10,8,11,10,7,5,4,3,1,17
2,15,S,E,Q74,J4,Q8763,T93,3,4,2,3,5,3,2,5,3,5
2,15,S,S,3,Q732,KT54,K864,10,8,11,10,7,1,4,4,4,8
2,15,S,W,KT95,A65,2,QJ752,3,4,2,3,5,4,3,1,5,10
2,16,S,N,95,T65,98763,QJ7,2,2,3,6,4,2,3,5,3,3
2,16,S,E,K8742,K84,J2,T92,11,11,9,7,9,5,3,2,3,7
2,16,S,S,3,Q732,KT54,K864,2,2,3,6,4,1,4,4,4,8
2,16,S,W,AQJT6,AJ9,AQ,A53,11,11,9,7,9,5,3,2,3,22
2,17,S,N,KT84,T865,A96,QJ,6,6,8,7,6,4,4,3,2,10
2,17,S,E,AJ65,J9,J83,7532,7,7,5,6,7,4,2,3,4,7
2,17,S,S,3,Q732,KT54,K864,6,6,8,7,6,1,4,4,4,8
2,17,S,W,Q972,AK4,Q72,AT9,7,7,5,6,7,4,3,3,3,15
2,18,S,N,A6,KJ8,QJ32,QJ95,4,4,8,9,9,2,3,4,4,14
2,18,S,E,KQ7,964,A987,A32,9,9,5,4,4,3,3,4,3,13
2,18,S,S,3,Q732,KT54,K864,4,4,8,9,9,1,4,4,4,8
2,18,S,W,JT98542,AT5,6,T7,9,9,5,4,4,7,3,1,2,5
2,19,S,N,T65,AT5,AQ87,952,5,3,8,9,7,3,3,4,3,10
2,19,S,E,87,964,J932,AT73,7,9,5,4,5,2,3,4,4,5
2,19,S,S,3,Q732,KT54,K864,5,3,8,9,7,1,4,4,4,8
2,19,S,W,AKQJ942,KJ8,6,QJ,7,9,5,4,5,7,3,1,2,17
2,20,S,N,AKJ9,AJT54,QJ2,7,9,7,11,9,7,4,5,3,1,16
2,20,S,E,7642,98,87,QJ952,2,4,2,3,5,4,2,2,5,3
2,20,S,S,3,Q732,KT54,K864,9,8,11,10,8,1,4,4,4,8
2,20,S,W,QT85,K6,A963,AT3,2,5,2,3,5,4,2,4,3,13
2,21,S,N,AQJT92,K4,A8,Q72,8,9,9,7,9,6,2,2,3,16
2,21,S,E,K64,AJ6,J962,JT3,4,4,4,5,3,3,3,4,3,10
2,21,S,S,3,Q732,KT54,K864,8,9,8,7,9,1,4,4,4,8
2,21,S,W,875,T985,Q73,A95,4,4,4,5,3,3,4,3,3,6
2,22,S,N,9874,KT6,A,AQ973,7,5,8,6,11,4,3,1,5,13
2,22,S,E,KQ6,J5,87632,T52,6,7,4,6,2,3,2,5,3,6
2,22,S,S,3,Q732,KT54,K864,7,5,8,6,11,1,4,4,4,8
2,22,S,W,AJT52,A984,QJ9,J,6,7,4,7,2,5,4,3,1,13
2,23,S,N,KJ76,964,J986,72,2,2,3,5,3,4,3,4,2,5
2,23,S,E,QT95,T8,A73,AQT5,10,10,9,7,10,4,2,3,4,12
2,23,S,S,3,Q732,KT54,K864,2,2,3,6,3,1,4,4,4,8
2,23,S,W,A842,AKJ5,Q2,J93,10,10,9,7,9,4,4,2,3,15
2,24,S,N,Q986,K964,9732,9,4,3,6,6,3,4,4,4,1,5
2,24,S,E,AT7542,JT85,A,AQ,8,10,7,7,10,6,4,1,2,15
2,24,S,S,3,Q732,KT54,K864,3,3,6,6,3,1,4,4,4,8
2,24,S,W,KJ,A,QJ86,JT7532,8,10,7,7,10,2,1,4,6,12
2,25,S,N,KJ985,KJ4,J,7532,6,5,6,4,6,5,3,1,4,9
2,25,S,E,T62,A6,A9872,QJ9,7,7,7,9,6,3,2,5,3,11
2,25,S,S,3,Q732,KT54,K864,6,5,6,4,6,1,4,4,4,8
2,25,S,W,AQ74,T985,Q63,AT,7,8,7,9,6,4,4,3,2,12
